#         Elevation : 50 deg.
#  Central Azimuths : [240.0, 75.0, 285.0, 120.0] deg.
#  Local Sid. Times : [0.86, 6.86, 12.86, 18.86] hours.
#     Azimuth Throw : 40.0 deg. (not on sky)
#     Scan Set Time : 1:05:00
#   Solar Avoidance : 45.0 deg.
#   Lunar Avoidance : 45.0 deg.
# Focal Plane Width : 35.0deg
#Site           |Telescope       |Latitude [deg]|Longitude [deg]  |Elevation [m]
 Atacama        |SAT             |       -22.958|        -67.786|         5200.0
#      Start time UTC       |Stop time UTC|Rotation|Patch name                           |Az min  |Az max      |El |Pass|Sub
  2023-11-04 08:00:00| 2023-11-04 09:05:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   7
  2023-11-04 09:05:00| 2023-11-04 10:10:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   8
  2023-11-04 10:10:00| 2023-11-04 11:15:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   9
  2023-11-04 11:15:00| 2023-11-04 12:20:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|  10
  2023-11-04 12:20:00| 2023-11-04 13:25:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|  11
  2023-11-04 13:25:00| 2023-11-04 14:30:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|  12
  2023-11-04 14:30:00| 2023-11-04 15:35:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|  13
  2023-11-04 15:35:00| 2023-11-04 16:40:00|  -45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    4|  14
  2023-11-04 16:40:00| 2023-11-04 17:45:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|  15
  2023-11-04 17:45:00| 2023-11-04 18:50:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|  16
  2023-11-04 18:50:00| 2023-11-04 19:55:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|  17
  2023-11-04 19:55:00| 2023-11-04 21:00:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|  18
  2023-11-04 21:00:00| 2023-11-04 22:05:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|  19
  2023-11-04 22:05:00| 2023-11-04 23:10:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|  20
  2023-11-04 23:10:00| 2023-11-05 00:15:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|  21
  2023-11-05 00:15:00| 2023-11-05 01:20:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|   0
  2023-11-05 01:20:00| 2023-11-05 02:25:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|   1
  2023-11-05 02:25:00| 2023-11-05 03:30:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   2
  2023-11-05 03:30:00| 2023-11-05 04:35:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   3
  2023-11-05 04:35:00| 2023-11-05 05:40:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   4
